wl,n,k
0.651,3.37863,0.29804
0.652,3.37146,0.30353
0.653,3.36439,0.30913
0.654,3.35741,0.31483
0.655,3.35053,0.32064
0.656,3.34374,0.32656
0.657,3.33705,0.33259
0.658,3.33046,0.33874
0.659,3.32397,0.345
0.66,3.31759,0.35137
0.661,3.3113,0.35787
0.662,3.30512,0.36448
0.663,3.29905,0.37122
0.664,3.29308,0.37808
0.665,3.28723,0.38506
0.666,3.28149,0.39217
0.667,3.27586,0.39941
0.668,3.27036,0.40677
0.669,3.26498,0.41426
0.67,3.25972,0.42188
0.671,3.25459,0.42964
0.672,3.2496,0.43752
0.673,3.24475,0.44554
0.674,3.24003,0.45369
0.675,3.23546,0.46198
0.676,3.23105,0.4704
0.677,3.22678,0.47895
0.678,3.22268,0.48764
0.679,3.21874,0.49645
0.68,3.21497,0.50541
0.681,3.21138,0.51449
0.682,3.20797,0.5237
0.683,3.20474,0.53305
0.684,3.20171,0.54252
0.685,3.19887,0.55212
0.686,3.19624,0.56184
0.687,3.19381,0.57168
0.688,3.1916,0.58165
0.689,3.18962,0.59173
0.69,3.18786,0.60192
0.691,3.18634,0.61222
0.692,3.18506,0.62263
0.693,3.18403,0.63314
0.694,3.18325,0.64374
0.695,3.18273,0.65444
0.696,3.18248,0.66522
0.697,3.1825,0.67608
0.698,3.1828,0.68701
0.699,3.18339,0.69801
0.7,3.18426,0.70907
0.701,3.18544,0.72018
0.702,3.18691,0.73133
0.703,3.18869,0.74252
0.704,3.19079,0.75374
0.705,3.1932,0.76497
0.706,3.19594,0.77622
0.707,3.199,0.78746
0.708,3.20239,0.79868
0.709,3.20611,0.80989
0.71,3.21017,0.82106
0.711,3.21457,0.83218
0.712,3.21931,0.84325
0.713,3.22439,0.85424
0.714,3.22981,0.86516
0.715,3.23558,0.87598
0.716,3.24169,0.8867
0.717,3.24814,0.89729
0.718,3.25493,0.90776
0.719,3.26207,0.91808
0.72,3.26954,0.92824
0.721,3.27734,0.93823
0.722,3.28547,0.94803
0.723,3.29393,0.95764
0.724,3.30271,0.96703
0.725,3.3118,0.9762
0.726,3.3212,0.98514
0.727,3.3309,0.99383
0.728,3.3409,1.00225
0.729,3.35117,1.0104
0.73,3.36173,1.01827
0.731,3.37254,1.02584
0.732,3.38361,1.03311
0.733,3.39493,1.04006
0.734,3.40648,1.04668
0.735,3.41824,1.05296
0.736,3.43022,1.0589
0.737,3.44238,1.06448
0.738,3.45473,1.0697
0.739,3.46725,1.07456
0.74,3.47991,1.07904
0.741,3.49272,1.08314
0.742,3.50565,1.08685
0.743,3.51868,1.09018
0.744,3.53181,1.09311
0.745,3.54501,1.09565
0.746,3.55828,1.09779
0.747,3.57159,1.09954
0.748,3.58493,1.10088
0.749,3.59829,1.10183
0.75,3.61164,1.10238
0.751,3.62498,1.10254
0.752,3.63828,1.10231
0.753,3.65154,1.10168
0.754,3.66474,1.10068
0.755,3.67787,1.0993
0.756,3.6909,1.09754
0.757,3.70383,1.09542
0.758,3.71664,1.09294
0.759,3.72933,1.09011
0.76,3.74187,1.08693
0.761,3.75426,1.08342
0.762,3.76649,1.07958
0.763,3.77854,1.07543
0.764,3.7904,1.07096
0.765,3.80208,1.06621
0.766,3.81355,1.06116
0.767,3.82481,1.05584
0.768,3.83585,1.05026
0.769,3.84666,1.04442
0.77,3.85725,1.03834
0.771,3.86759,1.03203
0.772,3.8777,1.0255
0.773,3.88755,1.01876
0.774,3.89716,1.01183
0.775,3.90652,1.00472
0.776,3.91561,0.99743
0.777,3.92445,0.98998
0.778,3.93303,0.98238
0.779,3.94135,0.97464
0.78,3.94941,0.96678
0.781,3.95721,0.95879
0.782,3.96474,0.9507
0.783,3.97202,0.94252
0.784,3.97903,0.93424
0.785,3.98579,0.92589
0.786,3.9923,0.91747
0.787,3.99855,0.909
0.788,4.00455,0.90047
0.789,4.01031,0.89191
0.79,4.01582,0.88331
0.791,4.02109,0.87469
0.792,4.02612,0.86604
0.793,4.03092,0.85739
0.794,4.03549,0.84874
0.795,4.03984,0.84009
0.796,4.04397,0.83145
0.797,4.04788,0.82283
0.798,4.05158,0.81422
0.799,4.05508,0.80565
0.8,4.05837,0.7971
0.801,4.06146,0.7886
0.802,4.06437,0.78013
0.803,4.06709,0.77171
0.804,4.06962,0.76334
0.805,4.07198,0.75502
0.806,4.07416,0.74676
0.807,4.07618,0.73856
0.808,4.07803,0.73042
0.809,4.07973,0.72234
0.81,4.08127,0.71434
0.811,4.08267,0.7064
0.812,4.08392,0.69853
0.813,4.08503,0.69074
0.814,4.086,0.68302
0.815,4.08685,0.67539
0.816,4.08757,0.66782
0.817,4.08816,0.66034
0.818,4.08864,0.65294
0.819,4.08901,0.64562
0.82,4.08926,0.63838
0.821,4.08941,0.63123
0.822,4.08946,0.62416
0.823,4.08941,0.61717
0.824,4.08927,0.61026
0.825,4.08903,0.60344
0.826,4.08871,0.59671
0.827,4.0883,0.59006
0.828,4.08781,0.58349
0.829,4.08725,0.577
0.83,4.08661,0.5706
0.831,4.08589,0.56429
0.832,4.08511,0.55805
0.833,4.08427,0.5519
0.834,4.08336,0.54583
0.835,4.08239,0.53984
0.836,4.08136,0.53393
0.837,4.08028,0.52811
0.838,4.07914,0.52236
0.839,4.07796,0.51669
0.84,4.07672,0.5111
0.841,4.07544,0.50559
0.842,4.07412,0.50015
0.843,4.07275,0.49479
0.844,4.07135,0.48951
0.845,4.0699,0.4843
0.846,4.06842,0.47916
0.847,4.06691,0.4741
0.848,4.06536,0.4691
0.849,4.06378,0.46418
0.85,4.06217,0.45933
0.851,4.06054,0.45455
0.852,4.05888,0.44983
0.853,4.05719,0.44519
0.854,4.05548,0.44061
0.855,4.05375,0.43609
0.856,4.052,0.43164
0.857,4.05022,0.42725
0.858,4.04843,0.42293
0.859,4.04662,0.41867
0.86,4.0448,0.41447
0.861,4.04296,0.41033
0.862,4.0411,0.40624
0.863,4.03923,0.40222
0.864,4.03735,0.39825
0.865,4.03546,0.39434
0.866,4.03356,0.39049
0.867,4.03165,0.38669
0.868,4.02973,0.38295
0.869,4.0278,0.37925
0.87,4.02586,0.37562
0.871,4.02392,0.37203
0.872,4.02197,0.36849
0.873,4.02002,0.365
0.874,4.01806,0.36156
0.875,4.0161,0.35817
0.876,4.01413,0.35483
0.877,4.01216,0.35154
0.878,4.01019,0.34829
0.879,4.00822,0.34508
0.88,4.00625,0.34192
0.881,4.00427,0.33881
0.882,4.00229,0.33574
0.883,4.00032,0.33271
0.884,3.99834,0.32972
0.885,3.99637,0.32677
0.886,3.99439,0.32386
0.887,3.99242,0.321
0.888,3.99045,0.31817
0.889,3.98848,0.31538
0.89,3.98652,0.31263
0.891,3.98455,0.30991
0.892,3.98259,0.30724
0.893,3.98064,0.30459
0.894,3.97869,0.30199
0.895,3.97674,0.29942
0.896,3.97479,0.29688
0.897,3.97285,0.29438
0.898,3.97091,0.29191
0.899,3.96898,0.28947
0.9,3.96706,0.28706
0.901,3.96513,0.28469
0.902,3.96322,0.28235
0.903,3.96131,0.28004
0.904,3.9594,0.27776
0.905,3.9575,0.2755
0.906,3.95561,0.27328
0.907,3.95372,0.27109
0.908,3.95184,0.26892
0.909,3.94997,0.26678
0.91,3.9481,0.26467
0.911,3.94624,0.26259
0.912,3.94438,0.26053
0.913,3.94253,0.2585
0.914,3.94069,0.25649
0.915,3.93886,0.25451
0.916,3.93703,0.25255
0.917,3.93521,0.25062
0.918,3.93339,0.24871
0.919,3.93159,0.24683
0.92,3.92979,0.24497
0.921,3.92799,0.24313
0.922,3.92621,0.24132
0.923,3.92443,0.23952
0.924,3.92266,0.23775
0.925,3.9209,0.236
0.926,3.91914,0.23427
0.927,3.9174,0.23256
0.928,3.91566,0.23088
0.929,3.91392,0.22921
0.93,3.9122,0.22756
0.931,3.91048,0.22593
0.932,3.90877,0.22433
0.933,3.90707,0.22274
0.934,3.90538,0.22117
0.935,3.90369,0.21961
0.936,3.90201,0.21808
0.937,3.90034,0.21656
0.938,3.89868,0.21506
0.939,3.89702,0.21358
0.94,3.89537,0.21212
0.941,3.89373,0.21067
0.942,3.8921,0.20924
0.943,3.89047,0.20782
0.944,3.88886,0.20642
0.945,3.88725,0.20504
0.946,3.88564,0.20367
0.947,3.88405,0.20232
0.948,3.88246,0.20099
0.949,3.88088,0.19966
0.95,3.87931,0.19836
0.951,3.87775,0.19706
0.952,3.87619,0.19579
0.953,3.87464,0.19452
0.954,3.8731,0.19327
0.955,3.87157,0.19203
0.956,3.87004,0.19081
0.957,3.86852,0.1896
0.958,3.86701,0.1884
0.959,3.86551,0.18722
0.96,3.86401,0.18605
0.961,3.86252,0.18489
0.962,3.86104,0.18374
0.963,3.85957,0.18261
0.964,3.8581,0.18148
0.965,3.85664,0.18037
0.966,3.85519,0.17927
0.967,3.85374,0.17819
0.968,3.8523,0.17711
0.969,3.85087,0.17604
0.97,3.84945,0.17499
0.971,3.84803,0.17395
0.972,3.84662,0.17292
0.973,3.84522,0.17189
0.974,3.84382,0.17088
0.975,3.84243,0.16988
0.976,3.84105,0.16889
0.977,3.83967,0.16791
0.978,3.8383,0.16694
0.979,3.83694,0.16598
0.98,3.83559,0.16503
0.981,3.83424,0.16408
0.982,3.8329,0.16315
0.983,3.83156,0.16223
0.984,3.83023,0.16131
0.985,3.82891,0.16041
0.986,3.8276,0.15951
0.987,3.82629,0.15862
0.988,3.82499,0.15774
0.989,3.82369,0.15687
0.99,3.8224,0.15601
0.991,3.82112,0.15516
0.992,3.81984,0.15431
0.993,3.81857,0.15347
0.994,3.81731,0.15264
0.995,3.81605,0.15182
0.996,3.8148,0.15101
0.997,3.81356,0.1502
0.998,3.81232,0.1494
0.999,3.81108,0.14861
1,3.80986,0.14783
1.001,3.80864,0.14705
1.002,3.80742,0.14628
1.003,3.80621,0.14552
1.004,3.80501,0.14476
1.005,3.80381,0.14402
1.006,3.80262,0.14327
1.007,3.80144,0.14254
1.008,3.80026,0.14181
1.009,3.79908,0.14109
1.01,3.79792,0.14038
1.011,3.79675,0.13967
1.012,3.7956,0.13897
1.013,3.79445,0.13827
1.014,3.7933,0.13758
1.015,3.79216,0.1369
1.016,3.79103,0.13622
1.017,3.7899,0.13555
1.018,3.78878,0.13488
1.019,3.78766,0.13422
