wl,sensitivity
520, 0.23901512957231696
521, 0.23012692817048364
522, 0.22147699695883927
523, 0.21307898932702263
524, 0.20515576267217506
525, 0.19771918945462896
526, 0.19064209944556787
527, 0.18380650171160917
528, 0.1770270666325925
529, 0.17080029774444383
530, 0.16494074040933215
531, 0.15905171926092898
532, 0.15346164056383382
533, 0.14818250839885683
534, 0.1431912116724492
535, 0.13850980862586848
536, 0.1337977043712596
537, 0.12945392337817918
538, 0.12536876434956457
539, 0.12128197773890248
540, 0.1175549076238328
541, 0.11386104384613682
542, 0.11028258310436334
543, 0.10706944877308089
544, 0.1037744035632755
545, 0.10084887464623438
546, 0.09731164904221079
547, 0.0937413338662143
548, 0.08997190149790124
549, 0.08693710632841378
550, 0.08341890365814231
551, 0.0801302233883342
552, 0.07685165788615533
553, 0.07394301938563663
554, 0.07105599819418629
555, 0.06822620096039278
556, 0.06541472585813146
557, 0.0630167731439577
560, 0.05514302783895242
561, 0.05366736370474379
562, 0.0518074933813506
563, 0.05003221249511802
564, 0.04816106059103242
565, 0.0465373941754067
566, 0.045113288047775923
567, 0.04390855360744661
568, 0.04305889593285883
569, 0.042238797128336114
570, 0.04153478062409077
571, 0.04059380861120143
572, 0.03999832679951443
573, 0.039393826261577725
574, 0.03878694465668053
575, 0.038489499854762244
576, 0.038206758420903486
577, 0.03756878035991695
578, 0.037269872588736264
579, 0.036962143131078484
580, 0.03663079965431515
581, 0.036354067270428336
582, 0.03635626362311284
583, 0.03605583277267854
584, 0.035750371363480915
585, 0.03570726213753983
586, 0.035138612845661776
587, 0.035135651392486644
588, 0.0345471521785099
589, 0.034222822397101504
590, 0.033957952664960045
591, 0.03335715958258867
592, 0.032736657750799036
593, 0.032113665192191165
594, 0.03150675679957571
595, 0.03087035192722798
596, 0.030607828140619242
597, 0.030291898953064278
598, 0.02968905960648116
599, 0.02937986152842531
600, 0.029073301123371476
601, 0.028534753209305652
602, 0.028481275038740206
603, 0.02811657065819806
604, 0.02787313908522049
605, 0.027575918291570245
606, 0.027267824238999205
607, 0.027267197466860127
608, 0.02699757918246659
609, 0.02696655807838022
610, 0.026661304346435433
611, 0.026661260530642217
612, 0.02666126053070239
613, 0.02666126053070239
614, 0.02666126053070239
615, 0.02666126053070239
616, 0.02666126053070239
617, 0.02666126053162099
618, 0.026661226487113776
619, 0.026964965007458597
620, 0.027295058988116905
621, 0.02726719818266643
622, 0.027266573716322684
623, 0.02780370613425065
624, 0.02787369415580665
625, 0.028164361877896837
626, 0.028479350025931938
627, 0.028982626741392847
628, 0.029188617540909956
629, 0.029690650893788417
630, 0.03030872539556495
631, 0.030570301888215745
632, 0.03124055652063995
633, 0.03180980582249804
634, 0.03233899157133324
635, 0.032848803114089664
636, 0.03365563965608864
637, 0.03421649411760097
638, 0.03516653249703039
639, 0.03573066007794168
640, 0.0366717195627817
641, 0.03723464857185044
642, 0.03821144431363255
643, 0.038841416891037484
644, 0.03968277095691797
645, 0.040561467095056036
646, 0.04147186904072031
647, 0.04240141347641413
648, 0.04333753725522804
649, 0.044227230807746154
650, 0.04515799596639947
651, 0.04606100109493283
652, 0.04721271899765245
653, 0.04817241093045388
654, 0.04914305853331069
655, 0.05028684017944873
656, 0.051423631417154225
657, 0.05252568306837857
658, 0.05361220488599916
659, 0.054853873982186996
660, 0.056078645028264984
661, 0.05702970761842041
662, 0.05817340555628403
663, 0.059370611027176
664, 0.060442960436994486
665, 0.06154811815624939
666, 0.06272255911714208
667, 0.06361407535052399
668, 0.0644992557077948
669, 0.06545853716476213
670, 0.0660543334505278
671, 0.06662133934138048
672, 0.06724112322630105
673, 0.0678650185480506
674, 0.0683981411247866
675, 0.068605192967655
676, 0.06907865089108811
677, 0.06906119365210983
